sample_id,bile_acids,scfa,tryptophan_metabolism
X001,0.578,0.592,0.57
X002,0.787,0.479,0.671
X003,0.632,0.641,0.592
X004,0.612,0.596,0.54
X005,0.628,0.587,0.638
X006,0.538,0.648,0.507
X007,0.554,0.581,0.596
X008,0.856,0.49,0.846
X009,0.577,0.648,0.55
X010,0.696,0.595,0.677
X011,0.672,0.463,0.695
X012,0.635,0.607,0.578
X013,0.818,0.514,0.676
X014,0.729,0.542,0.648
X015,0.639,0.533,0.605
X016,0.507,0.609,0.54
X017,0.66,0.532,0.617
X018,0.646,0.518,0.62
X019,0.514,0.677,0.54
X020,0.717,0.568,0.641
X021,0.695,0.548,0.69
X022,0.519,0.694,0.519
X023,0.756,0.487,0.688
X024,0.781,0.497,0.756
X025,0.735,0.518,0.635
X026,0.478,0.735,0.427
X027,0.761,0.474,0.734
X028,0.802,0.506,0.782
X029,0.707,0.547,0.654
X030,0.621,0.612,0.589
X031,0.676,0.571,0.612
X032,0.577,0.621,0.533
X033,0.549,0.636,0.541
X034,0.865,0.521,0.82
X035,0.687,0.545,0.687
X036,0.712,0.532,0.669
X037,0.682,0.52,0.628
X038,0.9,0.43,0.789
X039,0.625,0.581,0.672
X040,0.765,0.487,0.744
X041,0.766,0.491,0.685
X042,0.914,0.399,0.819
X043,0.726,0.509,0.655
X044,0.593,0.631,0.552
X045,0.571,0.623,0.582
X046,0.69,0.585,0.644
X047,0.566,0.597,0.562
X048,0.553,0.644,0.527
X049,0.853,0.498,0.749
X050,0.579,0.644,0.507
X051,0.756,0.542,0.665
X052,0.619,0.623,0.566
X053,0.542,0.649,0.506
X054,0.431,0.722,0.427
X055,0.742,0.558,0.706
X056,0.692,0.581,0.684
X057,0.509,0.67,0.532
X058,0.722,0.559,0.667
X059,0.628,0.542,0.58
X060,0.65,0.58,0.612
X061,0.507,0.684,0.469
X062,0.544,0.649,0.56
X063,0.629,0.588,0.588
X064,0.57,0.635,0.589
X065,0.647,0.585,0.597
X066,0.574,0.648,0.522
X067,0.57,0.62,0.55
X068,0.685,0.575,0.651
X069,0.463,0.693,0.498
X070,0.539,0.639,0.562
X071,0.792,0.438,0.73
X072,0.473,0.724,0.456
X073,0.724,0.544,0.702
X074,0.742,0.513,0.727
X075,0.737,0.514,0.679
X076,0.511,0.67,0.562
X077,0.692,0.539,0.701
X078,0.842,0.46,0.81
X079,0.682,0.514,0.657
X080,0.736,0.539,0.676
X081,0.566,0.617,0.568
X082,0.483,0.652,0.459
X083,0.482,0.696,0.402
